_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
31430,66,13516164,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,,PR,,18 NEPTUNE DR,Private,13516164,18,Neptune Dr,18 Neptune Dr,M6A 1X1,North York,Toronto,,102008,10367830,18,,,,6275,,,,,"{u'type': u'Point', u'coordinates': (-79.4342526359, 43.7314993952)}"
31431,67,11129594,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,,PR,,252 FINCH AVE W,Private,11129594,252,Finch Ave W,252 Finch Ave W,M2R 1M9,North York,Toronto,,115001,11129595,252,,,,1610,,,,,"{u'type': u'Point', u'coordinates': (-79.4384699547, 43.7753161016)}"
31432,68,13977971,AVALON CHILDREN'S MONTESSORI,,PR,,2181 QUEEN ST E,Private,13977971,2181,Queen St E,2181 Queen St E,M4E 1E5,former Toronto,Toronto,,115001,8265442,2181,,,,4237,,,,,"{u'type': u'Point', u'coordinates': (-79.2973253011, 43.6704133895)}"
31433,69,485329,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,,,,4853,,,,,"{u'type': u'Point', u'coordinates': (-79.4000020943, 43.7596784143)}"
31434,70,7315504,AVONDALE ALTERNATIVE SECONDARY SCHOOL,,EP,Toronto District School Board,24 SILVERVIEW DR,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,,,,,"{u'type': u'Point', u'coordinates': (-79.4118431542, 43.7863065106)}"
31435,71,485329,AVONDALE PUBLIC SCHOOL,,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,,,,4853,,,,,"{u'type': u'Point', u'coordinates': (-79.4000020943, 43.7596784143)}"
31436,72,1368930,AVRO ACADEMY,,PR,,1640A AVENUE RD,Private,1368930,1640A,Avenue Rd,1640A Avenue Rd,M5M 3X9,North York,Toronto,,115001,20364202,1640,A,,,2924,,,,,"{u'type': u'Point', u'coordinates': (-79.4174202536, 43.725989843)}"
31437,73,9171677,BAIS CHAYA MUSHKA GIRLS,,PR,,4375 CHESSWOOD DR,Private,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,,,,,"{u'type': u'Point', u'coordinates': (-79.4774419814, 43.7607082264)}"
31438,74,487179,BAIS CHOMESH HS FOR GIRLS,,PR,,3600 BATHURST ST,Private,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,,,,436,,,,,"{u'type': u'Point', u'coordinates': (-79.4330769431, 43.7311158004)}"
31439,75,559733,BAIS YAAKOV ELEMENTARY SCHOOL,,PR,,15 SARANAC BLVD,Private,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102005,444794,15,,,,6657,,,,,"{u'type': u'Point', u'coordinates': (-79.4318694439, 43.7214292567)}"
31440,76,325461,BAITUL MUKARRAM ACADEMY SCHOOL,,PR,,3334 DANFORTH AVE,Private,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,104008,112943,3334,,,,86,,,,,"{u'type': u'Point', u'coordinates': (-79.2781378251, 43.6937302132)}"
31441,77,9848255,BALA AVENUE COMMUNITY SCHOOL,,EP,Toronto District School Board,6 BALA AVE,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,,,,428,,,,,"{u'type': u'Point', u'coordinates': (-79.4990122716, 43.6894622238)}"
31442,78,62453,BALANCED EDUCATION NETWORK B.E.N. SCHOOL,,PR,,394 HARVIE AVE,Private,62453,394,Harvie Ave,394 Harvie Ave,M6E 4L8,York,Toronto,,100001,30119749,394,,,,648,,,,,"{u'type': u'Point', u'coordinates': (-79.4546890976, 43.6875353135)}"
31443,79,7667200,BALMY BEACH COMMUNITY SCHOOL,,EP,Toronto District School Board,14 PINE AVE,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,"Balmy Beach Community School, Balmy Beach Community Recreation Centre",106007,14673229,14,,,,4190,,,,,"{u'type': u'Point', u'coordinates': (-79.2898269415, 43.6764359195)}"
31444,80,486277,BANNOCKBURN MONTESSORI,,PR,,12 BANNOCKBURN AVE,Private,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,102005,443339,12,,,,4880,,,,,"{u'type': u'Point', u'coordinates': (-79.4220900215, 43.7340229972)}"
31445,81,338836,BANTING AND BEST PUBLIC SCHOOL,,EP,Toronto District School Board,380 GOLDHAWK TRL,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,102001,103029,380,,,,7999,,,,,"{u'type': u'Point', u'coordinates': (-79.2798335039, 43.8268714163)}"
31446,82,514037,BAY SCHOOL OF CANADA,,PR,,245 FAIRVIEW MALL DR,Private,514037,245,Fairview Mall Dr,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,104008,437784,245,,,,5548,,,,,"{u'type': u'Point', u'coordinates': (-79.3418613935, 43.7797290542)}"
31447,83,487550,BAYCREST PUBLIC SCHOOL,,EP,Toronto District School Board,145 BAYCREST AVE,English Public,487550,145,Baycrest Ave,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,102001,444124,145,,,,4905,,,,,"{u'type': u'Point', u'coordinates': (-79.4442515074, 43.7266057772)}"
31448,84,11414990,BAYVIEW GLEN PRIVATE SCHOOL,,PR,,85 MOATFIELD DR,Private,11414990,85,Moatfield Dr,85 Moatfield Dr,M3B 3L6,North York,Toronto,,115001,11415001,85,,,,6235,,,,,"{u'type': u'Point', u'coordinates': (-79.3518336806, 43.7590325568)}"
31449,85,7963754,BAYVIEW MIDDLE SCHOOL,,EP,Toronto District School Board,25 BUNTY LANE,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,,,,,"{u'type': u'Point', u'coordinates': (-79.3852946788, 43.7762622265)}"
31450,86,876040,BEACHES ALTERNATIVE JUNIOR SCHOOL,,EP,Toronto District School Board,50 SWANWICK AVE,English Public,876040,50,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,102001,14016131,50,,,,4519,,,,,"{u'type': u'Point', u'coordinates': (-79.299127884, 43.6826199723)}"
31451,87,7640837,BEACON OF LIGHT PRIVATE ELEMENTARY SCHOOL,,PR,,2191 GERRARD ST E,Private,7640837,2191,Gerrard St E,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,100001,7640834,2191,,,,3495,,,,,"{u'type': u'Point', u'coordinates': (-79.3008280647, 43.6835603974)}"
31452,88,1019694,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,,EP,Toronto District School Board,70 MONTERREY DR,English Public,1019694,70,Monterrey Dr,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,102001,906829,70,,,,2134,,,,,"{u'type': u'Point', u'coordinates': (-79.5747551862, 43.7426035565)}"
