_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31864,500,IQRA ACADEMY,,Private,former Toronto,,"-79.2985153767, 43.689112956"
31865,501,IQRA NEJASHI ISLAMIC SCHOOL,,Private,York,,"-79.4791468322, 43.6750650785"
31866,502,IROQUOIS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Iroquois Public School,"-79.2694408055, 43.8026801566"
31867,503,ISLAMIC EDUCATION GUIDANCE CENTRE,,Private,York,,"-79.5169267183, 43.7010230243"
31868,504,ISLAMIC FOUNDATION SCHOOL,,Private,Scarborough,Islamic Foundation,"-79.2417492316, 43.7979783593"
31869,505,ISLAMIC INSTITUTE OF TORONTO ACADEMY SCHOOL,,Private,Scarborough,,"-79.2298328215, 43.8187301828"
31870,506,ISLAND PUBLIC NATURAL SCIENCE SCHOOL,Toronto District School Board,English Public,former Toronto,,"-79.3783881351, 43.6157002779"
31871,507,ISLINGTON JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Islington Junior Middle Public School,"-79.5279466911, 43.6474828162"
31872,508,J B TYRRELL SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,J.B. Tyrell Public School,"-79.3241750663, 43.7888787686"
31873,509,J G WORKMAN PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,J. G. Workman Public School,"-79.267127928, 43.7071912568"
31874,510,J R WILCOX COMMUNITY SCHOOL,Toronto District School Board,English Public,York,J. R. Wilcox Community School,"-79.4363052648, 43.6949467937"
31875,511,JACK MINER SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Jack Miner Senior Public School,"-79.1869683395, 43.7496886336"
31876,512,JACKMAN AVENUE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Jackman Avenue Junior Public School,"-79.3539353613, 43.6806502155"
31877,513,JACKMAN INSTITUTE OF CHILD STUDY,,Private,former Toronto,,"-79.405875498, 43.6696130765"
31878,514,JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,English Separate,North York,James Cardinal McGuigan School,"-79.4937985997, 43.7632895738"
