_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
32163,799,RIVERDALE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Riverdale Collegiate Institute,"-79.3348598192, 43.6700476982"
32164,800,ROBERT SERVICE SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Robert Service Senior Public School,"-79.2511781788, 43.7290251524"
32165,801,ROCKCLIFFE MIDDLE SCHOOL,Toronto District School Board,English Public,York,Rockcliffe Middle School,"-79.4888938172, 43.6738651425"
32166,802,ROCKFORD PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Rockford Public School,"-79.452441411, 43.785800519"
32167,803,RODEN PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Roden Junior Public School,"-79.3230764862, 43.6738732739"
32168,804,ROLPH ROAD ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,Rolph Road Elementary School,"-79.3660007151, 43.699854123"
32169,805,ROSE AVENUE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Rose Avenue Community Centre,"-79.3727880966, 43.6703164704"
32170,806,ROSEDALE DAY SCHOOL,,Private,former Toronto,,"-79.3923942727, 43.6687534268"
32171,807,ROSEDALE HEIGHTS SCHOOL OF THE ARTS,Toronto District School Board,English Public,former Toronto,Rosedale Heights Secondary School,"-79.366016337, 43.6739396617"
32172,808,ROSEDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Rosedale Junior Public School,"-79.3816860268, 43.6776557315"
32173,809,ROSELANDS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,York,Roselands Junior Public School,"-79.4990610013, 43.6812267943"
32174,810,ROSETHORN JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Rosethorn Junior Public School,"-79.5394518625, 43.66015661"
32175,811,ROUGE VALLEY EDUCATION CENTRE,,Private,Scarborough,,"-79.1841251741, 43.7871320727"
32176,812,ROUGE VALLEY PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Rouge Valley Public School,"-79.1512873937, 43.7993862554"
32177,813,ROYAL CONSERVATORY OF MUSIC,,Private,former Toronto,,"-79.3960588162, 43.6678563063"
32178,814,ROYAL CROWN ACADEMIC SCHOOL,,Private,Scarborough,Charles O. Bick College,"-79.2760182593, 43.8064621919"
32179,815,ROYAL ST GEORGE'S COLLEGE,,Private,former Toronto,St Alban's Chapel,"-79.4106538751, 43.6695442344"
32180,816,ROYAL ST GEORGE'S COLLEGE  - JUNIOR,,Private,former Toronto,,"-79.4105213297, 43.6696420562"
32181,817,ROYAL ST GEORGE'S COLLEGE - SENIOR,,Private,former Toronto,St Alban Anglican Church,"-79.4102575107, 43.6689998745"
32182,818,ROYWOOD PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Roywood Public School,"-79.3217731784, 43.7647240733"
32183,819,RUNNYMEDE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,York,Runnymede Collegiate Institute,"-79.4898113825, 43.6635322655"
32184,820,RUNNYMEDE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Runnymede Junior & Senior Public School,"-79.4774817133, 43.6559293056"
32185,821,RYERSON COMMUNITY SCHOOL,Toronto District School Board,English Public,former Toronto,Ryerson Community School Jr. & Sr.,"-79.4023797268, 43.6512817054"
32186,822,RYERSON UNIVERSITY - MAIN ADDRESS,,University,former Toronto,,"-79.380479826, 43.6577656355"
32187,823,SACRE COEUR CATHOLIC ELEMENTARY SCHOOL/ECOLE ELEMENTAIRE CATHOLIQUE SACRE COEUR,Conseil scolaire de district catholique Centre-Sud,French Separate,former Toronto,Sacre Coeur Catholic Elementary School,"-79.4242134066, 43.6678575563"
32188,824,SACRED HEART CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Sacred Heart Catholic School,"-79.2201440044, 43.8121839994"
32189,825,SAINT FRERE ANDRE/ECOLE SECONDAIRE SAINT FRERE ANDRE,Conseil scolaire de district catholique Centre-Sud,French Separate,former Toronto,Saint Frere Andre,"-79.4412354247, 43.6523836303"
32190,826,SALAHEDDIN ISLAMIC,,Private,Scarborough,,"-79.2660025416, 43.7308876997"
32191,827,SAMUEL HEARNE MIDDLE SCHOOL,Toronto District School Board,English Public,Scarborough,Samuel Hearne Senior Public School,"-79.2834799575, 43.6950056242"
32192,828,SANTA MARIA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,Santa Maria Catholic School,"-79.4774515843, 43.6815419695"
32193,829,SATEC @ W A PORTER COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,W.A. Porter Collegiate Institute,"-79.2872695164, 43.7165934572"
32194,830,SATHYA SAI  ELEMENTARY,,Private,Scarborough,,"-79.2963726971, 43.7615025698"
32195,831,SCARBOROUGH CENTRE FOR ALTERNATIVE STUDIES SCAS),Toronto District School Board,English Public,Scarborough,Midland Ave Collegiate Institute,"-79.2565866863, 43.7283605174"
32196,832,SCARBOROUGH VILLAGE PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Scarborough Village Public School,"-79.2220717939, 43.7441193623"
32197,833,SCHOOL OF EXPERIENTIAL EDUCATION,Toronto District School Board,English Public,Etobicoke,School Of Experiential Education,"-79.5463909751, 43.701635025"
32198,834,SCHOOL OF LIFE,Toronto District School Board,English Public,former Toronto,Monarch Park Collegiate,"-79.3227718926, 43.6792807308"
32199,835,SECOND STREET JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Second Street Junior Middle School,"-79.5000229035, 43.6037250777"
32200,836,SECORD ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,Secord Elementary School,"-79.3018312433, 43.6923788956"
32201,837,SEED ALTERNATIVE SCHOOL,Toronto District School Board,English Public,former Toronto,,"-79.3503749917, 43.662272112"
32202,838,SEERAH MISSION SCHOOL,,Private,North York,,"-79.3205845484, 43.7384655983"
32203,839,SELWYN ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,Selwyn Elementary School,"-79.3063259433, 43.7084396529"
32204,840,SENATOR O'CONNOR COLLEGE SCHOOL,Toronto Catholic District School Board,English Separate,North York,Senator O'Connor College,"-79.3173685459, 43.7508272676"
32205,841,SENECA COLLEGE - NEWNHAM CAMPUS,,,North York,,"-79.3489876443, 43.7957808076"
32206,842,SENECA COLLEGE - SENECA AT YORK CAMPUS,,,North York,York University-Seneca College,"-79.4988542788, 43.771274896"
32207,843,SENECA COLLEGE - YORKGATE CAMPUS,,,North York,,"-79.5194393493, 43.7584985485"
32208,844,SENECA HILL PRIVATE,,Private,North York,,"-79.346683029, 43.7454129178"
32209,845,SENECA HILL PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Seneca Hill Public School,"-79.3502969873, 43.7908704223"
32210,846,SENECA SCHOOL,Toronto District School Board,English Public,Etobicoke,Seneca School,"-79.5825458261, 43.6509339531"
32211,847,SEVENTH STREET JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Seventh Street Junior School,"-79.5041938387, 43.5999243686"
32212,848,SHAUGHNESSY PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Shaughnessy Public School,"-79.3516008695, 43.770284044"
32213,849,SHEPPARD PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Sheppard Public School,"-79.4882606578, 43.7454243556"
32214,850,SHIRLEY STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,"Shirley Street Junior Public School, City View Alternative Senior School","-79.4367221725, 43.648524237"
32215,851,SHOORE CENTRE FOR LEARNING,,Private,former Toronto,,"-79.4244897595, 43.701021894"
32216,852,SHOREHAM PUBLIC SCHOOL AND WELLNESS ACADEMY,Toronto District School Board,English Public,North York,Shoreham Public Sports and Wellness Academy,"-79.5173879693, 43.7687995439"
32217,853,SIDNEY LEDSON INSTITUTE FOR INTELL'L ADVANCEMENT,,Private,North York,,"-79.3528039776, 43.7622578372"
32218,854,SIGNET CHRISTIAN PRIVATE SCHOOL,,Private,North York,North York Chinese Baptist Church,"-79.3787717174, 43.7681539209"
32219,855,SILVER SPRINGS PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Silver Springs Public School,"-79.302376966, 43.804429509"
32220,856,SILVERTHORN COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,Silverthorn Collegiate Institute,"-79.5803885455, 43.6378359133"
32221,857,SILVERTHORN COMMUNITY SCHOOL,Toronto District School Board,English Public,York,Kane Middle Public School,"-79.4694151112, 43.6872494241"
32222,858,SIMRA ACADEMY PRIVATE SCHOOL,,Private,Scarborough,,"-79.2517592259, 43.7540145222"
32223,859,SIR ADAM BECK JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Sir Adam Beck Junior Public School,"-79.5482756661, 43.6017812324"
32224,860,SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Sir Alexander Mackenzie Senior Public School,"-79.2731724487, 43.7893650361"
32225,861,SIR ERNEST MACMILLAN SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Sir Ernest Macmillan Public School,"-79.3286382347, 43.8066383254"
32226,862,SIR JOHN A MACDONALD COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Sir John A Macdonald C.I.,"-79.323670509, 43.7870773579"
32227,863,SIR OLIVER MOWAT COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Sir Oliver Mowat Collegiate Institute,"-79.1422383223, 43.7793019337"
32228,864,SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Sir Samuel B Steele Junior Public School,"-79.3275418258, 43.8070663083"
32229,865,SIR WILFRID LAURIER COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Sir Wilfrid Laurier Collegiate Institute,"-79.1969914784, 43.7470335032"
32230,866,SIR WILLIAM OSLER HIGH SCHOOL,Toronto District School Board,English Public,Scarborough,Sir William Osler Secondary School,"-79.2874013329, 43.7975664888"
32231,867,SLOANE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Sloane Public School,"-79.3103396611, 43.7312122256"
32232,868,SMITHFIELD MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Smithfield Public School,"-79.5957518765, 43.7500111297"
32233,869,SOUTH EAST YEAR ROUND ALTERNATIVE CENTRE,Toronto District School Board,English Public,Scarborough,Midland Ave Collegiate Institute,"-79.2565866863, 43.7283605174"
32234,870,SPECTRUM ALTERNATIVE SENIOR SCHOOL,Toronto District School Board,English Public,York,Vaughan Road Academy,"-79.4367028284, 43.6910217034"
32235,871,SPRUCECOURT JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Sprucecourt Junior Public School,"-79.363829915, 43.6644860053"
32236,872,ST AGATHA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Agatha Catholic School,"-79.2296265608, 43.7235532119"
32237,873,ST AGNES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Agnes Catholic School,"-79.4026042497, 43.7985754806"
32238,874,ST AIDAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Aidan Catholic School,"-79.3092507794, 43.7975235475"
32239,875,ST ALBERT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Albert Catholic School,"-79.2615107448, 43.7436410392"
32240,876,ST ALPHONSUS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,St. Alphonsus Catholic School,"-79.4322064448, 43.6829136857"
32241,877,ST AMBROSE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Ambrose Catholic School,"-79.5501228703, 43.6083700983"
32242,878,ST ANDRE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Andre Catholic School,"-79.5178611183, 43.7240233235"
32243,879,ST ANDREW CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Andrew Catholic School,"-79.5823817818, 43.7449311405"
32244,880,ST ANDREW'S MIDDLE SCHOOL,Toronto District School Board,English Public,North York,St Andrew's Middle School,"-79.3903297628, 43.7515973529"
32245,881,ST ANDREWS PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,St. Andrews Public School,"-79.2547962817, 43.7666452472"
32246,882,ST ANGELA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Angela Catholic School,"-79.5969028426, 43.754521498"
32247,883,ST ANSELM CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,East York,St. Anselm Catholic School,"-79.3715951605, 43.7053943858"
32248,884,ST ANTHONY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Anthony Catholic School,"-79.4349208399, 43.6636047931"
32249,885,ST ANTOINE DANIEL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Antoine Daniel Catholic School,"-79.4298447653, 43.7770108313"
32250,886,ST AUGUSTINE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Augustine Catholic School,"-79.5250642852, 43.7682365171"
32251,887,ST BARBARA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Barbara Catholic School,"-79.2190606153, 43.7624687291"
32252,888,ST BARNABAS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Barnabas Catholic School,"-79.2285119175, 43.7972412194"
32253,889,ST BARTHOLOMEW CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Bartholomew,"-79.2716069013, 43.7898721389"
32254,890,ST BASIL THE GREAT COLLEGE SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Basil-the-Great College School,"-79.5333274754, 43.7277071831"
32255,891,ST BEDE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Bede Catholic School,"-79.2065477033, 43.8179789082"
32256,892,ST BENEDICT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Benedict Catholic School,"-79.5729230453, 43.7231852513"
32257,893,ST BERNARD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Bernard Catholic School,"-79.5000699895, 43.7025259701"
32258,894,ST BONAVENTURE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Bonaventure Catholic School,"-79.3560547955, 43.7329910989"
32259,895,ST BONIFACE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Boniface Catholic School,"-79.2198176482, 43.7405509095"
32260,896,ST BRENDAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Brendan Catholic School,"-79.1492505532, 43.7825469523"
32261,897,ST BRIGID CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Brigid Catholic School,"-79.3168473889, 43.6868167648"
32262,898,ST BRUNO CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Bruno / St. Raymond Catholic School,"-79.4270629278, 43.6732399544"
32263,899,ST CATHERINE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Catherine Catholic School,"-79.3247390775, 43.7423352675"
32264,900,ST CECILIA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Cecilia Catholic School,"-79.4746579402, 43.6607945735"
32265,901,ST CHARLES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Charles Catholic School,"-79.4513506942, 43.7132818927"
32266,902,ST CHARLES GARNIER CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Charles Garnier Catholic School,"-79.5180641246, 43.7623421281"
32267,903,ST CLARE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,St. Clare Catholic School,"-79.4415515857, 43.6794114666"
32268,904,ST CLEMENT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Clement Catholic School,"-79.5738081912, 43.6322472865"
32269,905,ST CLEMENTS,,Private,former Toronto,,"-79.4003250669, 43.712601623"
32270,906,ST COLUMBA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Columba Catholic School,"-79.2118274058, 43.8061934479"
32271,907,ST CONRAD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Conrad Catholic School,"-79.4945243088, 43.729722409"
32272,908,ST COSMAS AND DAMIAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Sts. Cosmas and Damian Catholic School,"-79.4444258866, 43.7069342289"
32273,909,ST CYRIL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Cyril Catholic School,"-79.4166279833, 43.7769535192"
32274,910,ST DEMETRIUS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Demetrius Catholic School,"-79.5219659421, 43.6846542137"
32275,911,ST DENIS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Denis Catholic School,"-79.2899076163, 43.6729983467"
32276,912,ST DOMINIC SAVIO CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Dominic Savio Catholic School,"-79.1560238706, 43.798284371"
32277,913,ST DOROTHY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Dorothy Catholic School,"-79.5917397331, 43.7314927044"
32278,914,ST DUNSTAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Dunstan Catholic School,"-79.2842391958, 43.6934291968"
32279,915,ST EDMUND CAMPION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Edmund Campion Catholic School,"-79.2157156152, 43.7881110156"
32280,916,ST EDWARD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Edward Catholic School,"-79.413547174, 43.7534007337"
32281,917,ST ELIZABETH CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Elizabeth Catholic School,"-79.5574536757, 43.6351551675"
32282,918,ST ELIZABETH SETON CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Elizabeth Seton Catholic School,"-79.2467058263, 43.7889512449"
32283,919,ST EUGENE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Eugene Catholic School,"-79.5371757472, 43.692580137"
32284,920,ST FIDELIS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Fidelis Catholic School,"-79.4853065044, 43.7171615274"
32285,921,ST FLORENCE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Florence Catholic School,"-79.2070022817, 43.7984139638"
32286,922,ST FRANCIS DE SALES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Francis de Sales Catholic School,"-79.5191245071, 43.7541329146"
32287,923,ST FRANCIS OF ASSISI CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Francis Of Assisi Catholic School,"-79.4146281224, 43.656199867"
32288,924,ST FRANCIS XAVIER CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Francis Xavier Catholic School,"-79.4834070612, 43.7108495114"
32289,925,ST GABRIEL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Gabriel Catholic School,"-79.3909333156, 43.7690492873"
32290,926,ST GABRIEL LALEMANT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Gabriel Lalemant Catholic School,"-79.2267274764, 43.8127036322"
32291,927,ST GEORGE ACADEMY SECONDARY SCHOOL,,Private,North York,,"-79.4221165959, 43.7780697274"
32292,928,ST GEORGE'S JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,St. Georges Junior Public School,"-79.5417121934, 43.6726005055"
32293,929,ST GERALD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Gerald Catholic School,"-79.3263798212, 43.7807132742"
32294,930,ST GREGORY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Gregory Catholic School,"-79.5448985655, 43.6606760664"
32295,931,ST HELEN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Helen Catholic School,"-79.4361563219, 43.6520845728"
32296,932,ST HENRY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Henry Secondary School,"-79.327830353, 43.8136943031"
32297,933,ST IGNATIUS LOYOLA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Ignatius Of Loyola Catholic School,"-79.2652486874, 43.8031579713"
32298,934,ST ISAAC JOGUES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Isaac Jogues Catholic School,"-79.3219955719, 43.762399802"
32299,935,ST JAMES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,St. James Catholic School,"-79.4952075334, 43.6646903894"
32300,936,ST JANE FRANCES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Jane Francis Catholic School,"-79.5131656491, 43.7421481635"
32301,937,ST JEAN DE BREBEUF CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Jean De Brebeuf Catholic School,"-79.1740585576, 43.802268384"
32302,938,ST JEAN DE LALANDE CATHOLIC ELEMENTARY SCHOOL,Conseil scolaire de district catholique Centre-Sud,French Separate,Scarborough,Ecole Saint-Jean-De-Lalande C S,"-79.2640882627, 43.8047500214"
32303,939,ST JEROME CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Jerome Catholic School,"-79.488890308, 43.7488344363"
32304,940,ST JOACHIM CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Joachim Catholic School,"-79.2754113466, 43.7130080216"
32305,941,ST JOHN BOSCO CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,St. John Bosco Catholic School,"-79.4505577406, 43.6887157871"
32306,942,ST JOHN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. John Catholic School,"-79.2945686729, 43.6802243803"
32307,943,ST JOHN HENRY NEWMAN CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. John Henry Newman Catholic High School,"-79.2404353721, 43.7147788011"
32308,944,ST JOHN PAUL II CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Pope John Paul II Catholic Secondary School,"-79.1993630895, 43.7900759206"
32309,945,ST JOHN THE EVANGELIST CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,St.John The Evangelist,"-79.5202639895, 43.7032102334"
32310,946,ST JOHN VIANNEY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. John Vianney Catholic School,"-79.553953735, 43.7380608407"
32311,947,ST JOHN XXIII CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. John XXIII Catholic School,"-79.3298478904, 43.712453972"
32312,948,ST JOSAPHAT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Josaphat Catholic School,"-79.5090595342, 43.5992985583"
32313,949,ST JOSEPH CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Joseph Catholic School,"-79.3318905489, 43.6658080725"
32314,950,ST JOSEPH'S COLLEGE SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Joseph's College,"-79.3888646583, 43.6644368621"
32315,951,ST JOSEPH'S MORROW PARK CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Josephs Morrow Park,"-79.3931745581, 43.797848847"
32316,952,ST JUDE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Jude Catholic School,"-79.5392565397, 43.7404844802"
32317,953,ST KATERI TEKAKWITHA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,St. Kateri Tekakwitha Catholic School,"-79.3380515909, 43.7858197125"
32318,954,ST KEVIN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Kevin Catholic School,"-79.3061817662, 43.7507604549"
32319,955,ST LAWRENCE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Lawrence Catholic School,"-79.2799208447, 43.7493063882"
32320,956,ST LEO CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Leo Catholic School,"-79.4962884514, 43.6142799914"
32321,957,ST LEONARD ADULT EDUCATION CENTRE,Toronto Catholic District School Board,English Separate,North York,Oxford Academy,"-79.3673403857, 43.7919518365"
32322,958,ST LOUIS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Louis Catholic School,"-79.5009553836, 43.6257451247"
32323,959,ST LUIGI CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,St. Luigi Catholic School,"-79.4514701139, 43.6628755819"
32324,960,ST MADELEINE CATHOLIC ELEMENTARY SCHOOL,Conseil scolaire de district catholique Centre-Sud,French Separate,North York,St Madeleine Catholic Elementary School,"-79.3227174246, 43.762249209"
32325,961,ST MALACHY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Malachy Catholic School,"-79.166350395, 43.7711329119"
32326,962,ST MARCELLUS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,St. Marcellus Catholic School,"-79.5542249529, 43.6797919364"
32327,963,ST MARGARET CATHOLIC ELEMENTARY SCHOOL - AMEER SITE,Toronto Catholic District School Board,English Separate,North York,Sir Sandford Fleming Academy,"-79.4417054055, 43.7286921824"
32328,964,ST MARGARET CATHOLIC ELEMENTARY SCHOOL - CARMICHAEL SITE,Toronto Catholic District School Board,English Separate,North York,St. Margaret Catholic School,"-79.4266484151, 43.7359856885"
32329,965,ST MARGARET'S PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,St. Margaret's Public School,"-79.1958212212, 43.7679505558"
32330,966,ST MARGUERITE BOURGEOYS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,St. Marguerite Bourgeoys Catholic School,"-79.2850919491, 43.8082306631"
