_id,address,geometry,min_speed,schedule,speed_limit,start_date,ward_no
7076,Renforth Drive,"-79.585958, 43.665158",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,2
7174,25 Gade Drive,"-79.490174, 43.728303",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,6
7226,218 Brock Avenue,"-79.435042, 43.648202",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,9
7353,7 Bunty Lane,"-79.385468, 43.77458",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,17
7470,138 Canongate Trail,"-79.30706, 43.819027",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,22
7476,121 Canongate Trail,"-79.307786, 43.820196",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T12:00:00,22
7335,27 Roanoke Road,"-79.32569, 43.741762",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,16
7375,105 McKee Avenue,"-79.408447, 43.774175",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,18
7376,65 McKee Avenue,"-79.410792, 43.773567",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,18
7497,196 Burrows Hall Boulevard,"-79.22841, 43.79408",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,23
7516,762 Scarborough Golf Club Road,"-79.216878, 43.765052",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,24
7519,733 Scarborough Golf Club Road,"-79.21581, 43.762922",20,Weekdays from 7 AM - 9 PM,30,2018-10-18T18:00:00,24
7075,730 Renforth Drive,"-79.584478, 43.662695",20,Weekdays from 7 AM - 9 PM,30,2018-10-19T12:00:00,2
7084,110 Eringate Drive,"-79.58144643, 43.6605423608",30,Weekdays from 7 AM - 9 PM,40,2018-10-19T12:00:00,2
7066,55 Lafferty Street,"-79.582609, 43.658028",20,Weekdays from 7 AM - 9 PM,30,2018-10-19T13:00:00,2
7073,95 Richland Crescent,"-79.581933, 43.657153",20,Weekdays from 7 AM - 9 PM,30,2018-10-19T13:00:00,2
7521,10 Waldock Street,"-79.191856, 43.758532",20,Weekdays from 7 AM - 9 PM,30,2018-10-24T11:00:00,24
7498,1 Tapscott Road,"-79.225218, 43.804478",30,Weekdays from 7 AM - 9 PM,50,2018-10-25T13:00:00,23
7503,2 Berner Trail,"-79.225726, 43.80129",20,Weekdays from 7 AM - 9 PM,30,2018-10-25T13:00:00,23
7333,15 Underhill Drive,"-79.325313, 43.742408",20,Weekdays from 7 AM - 9 PM,30,2018-10-25T14:00:00,16
7518,21 Janray Drive,"-79.220033, 43.76258",20,Weekdays from 7 AM - 9 PM,30,2018-10-25T14:00:00,24
7360,2789 Victoria Park Avenue,"-79.32626, 43.781952",20,Weekdays from 7 AM - 9 PM,30,2018-10-26T12:00:00,17
7077,334 The East Mall,"-79.557186, 43.638992",20,Weekdays from 7 AM - 9 PM,30,2018-11-02T16:00:00,2
7102,284 The East Mall,"-79.556752, 43.635698",20,Weekdays from 7 AM - 9 PM,30,2018-11-02T16:00:00,3
7107,281 The East Mall,"-79.556771, 43.634644",20,Weekdays from 7 AM - 9 PM,30,2018-11-02T16:00:00,3
7130,34 Brookside Avenue,"-79.491918, 43.6608",20,Weekdays from 7 AM - 9 PM,30,2018-11-02T16:00:00,4
7139,8 Saint Mark's Road,"-79.489842, 43.660301",20,Weekdays from 7 AM - 9 PM,30,2018-11-02T16:00:00,4
7556,91 Main Street,"-79.299147, 43.681859",30,Weekdays from 7 AM - 9 PM,40,2018-11-02T16:00:00,19
7238,184 Gladstone Avenue,"-79.42926, 43.648",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,9
7239,447 Dufferin Street,"-79.429722, 43.645384",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,9
7349,172 Old Sheppard Avenue,"-79.327683, 43.779968",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,17
7436,27 Pharmacy Avenue,"-79.283773, 43.69337",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,20
7450,70 Pharmacy Avenue,"-79.284522, 43.694707",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,20
7461,20 Haileybury Drive,"-79.258583, 43.745195",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,21
7465,34 Deerfield Road,"-79.256511, 43.744613",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,21
7466,22 Marcos Boulevard,"-79.261488, 43.746521",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,21
7478,6 Leafield Drive,"-79.324421, 43.780687",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,22
7482,2751 Victoria Park Avenue,"-79.324874, 43.77947",20,Weekdays from 7 AM - 9 PM,30,2018-11-21T20:00:00,22
7555,136 Main Street,"-79.299939, 43.683148",30,Weekdays from 7 AM - 9 PM,40,2018-11-21T20:00:00,19
7126,333 Runnymede Road,"-79.477359, 43.654033",20,Weekdays from 7 AM - 9 PM,30,2018-12-05T16:00:00,4
7256,142 Ava Road,"-79.43043, 43.696739",20,Weekdays from 7 AM - 9 PM,30,2018-12-07T15:00:00,12
